ThreadType,NumThreads,AvgExecutionTime
PLATFORM,100,9074225
VIRTUAL,100,271605
POOLED,100,1447995
PLATFORM,200,17381880
VIRTUAL,200,358830
POOLED,200,4030540
PLATFORM,400,34073750
VIRTUAL,400,7003800
POOLED,400,1231930
PLATFORM,800,68780320
VIRTUAL,800,12485650
POOLED,800,1831805
PLATFORM,1600,152351495
VIRTUAL,1600,14543140
POOLED,1600,3611865
PLATFORM,3200,376560605
VIRTUAL,3200,6490910
POOLED,3200,6672385
PLATFORM,6400,758356470
VIRTUAL,6400,18953780
POOLED,6400,15412540
PLATFORM,12800,1931525555
VIRTUAL,12800,61710375
POOLED,12800,28246830
PLATFORM,25600,3123096105
VIRTUAL,25600,97729925
POOLED,25600,56425000
PLATFORM,51200,6028225815
VIRTUAL,51200,152051045
POOLED,51200,107107255
PLATFORM,102400,10460840825
VIRTUAL,102400,377993815
POOLED,102400,203584425
PLATFORM,204800,23110084920
VIRTUAL,204800,993648115
POOLED,204800,425042875
PLATFORM,409600,47942988615
VIRTUAL,409600,2159499425
POOLED,409600,846248010
