ThreadType,NumThreads,AvgExecutionTime
PLATFORM,100,0
VIRTUAL,100,36510220
POOLED,100,9980420
PLATFORM,200,0
VIRTUAL,200,7666760
POOLED,200,8846260
PLATFORM,400,0
VIRTUAL,400,5925540
POOLED,400,9163300
PLATFORM,800,0
VIRTUAL,800,7455160
POOLED,800,9185620
PLATFORM,1600,0
VIRTUAL,1600,15580360
POOLED,1600,15912440
PLATFORM,3200,0
VIRTUAL,3200,25653840
POOLED,3200,24467760
PLATFORM,6400,0
VIRTUAL,6400,49585580
POOLED,6400,59898140
PLATFORM,12800,0
VIRTUAL,12800,176406160
POOLED,12800,225308960
PLATFORM,25600,0
VIRTUAL,25600,378143460
POOLED,25600,449493080
PLATFORM,51200,0
VIRTUAL,51200,883665320
POOLED,51200,896916040
PLATFORM,102400,0
VIRTUAL,102400,1675877580
POOLED,102400,1809217380
PLATFORM,204800,0
VIRTUAL,204800,3366423460
POOLED,204800,3596616060
PLATFORM,409600,0
VIRTUAL,409600,7163685200
POOLED,409600,6795501020
