ThreadType,NumThreads,AvgExecutionTime
PLATFORM,100,16407460
VIRTUAL,100,3243780
POOLED,100,4878600
PLATFORM,200,28751360
VIRTUAL,200,1304740
POOLED,200,3503460
PLATFORM,400,58798660
VIRTUAL,400,1515800
POOLED,400,4074440
PLATFORM,800,129106200
VIRTUAL,800,2051960
POOLED,800,3966280
PLATFORM,1600,213592480
VIRTUAL,1600,6552380
POOLED,1600,6830480
PLATFORM,3200,391476340
VIRTUAL,3200,9154340
POOLED,3200,11382760
PLATFORM,6400,765944160
VIRTUAL,6400,11164980
POOLED,6400,14441120
PLATFORM,12800,1600022940
VIRTUAL,12800,22506020
POOLED,12800,23788540
PLATFORM,25600,3237832260
VIRTUAL,25600,71231500
POOLED,25600,57571280
PLATFORM,51200,6156250120
VIRTUAL,51200,101494920
POOLED,51200,86440200
PLATFORM,102400,12750979060
VIRTUAL,102400,224256860
POOLED,102400,184258800
PLATFORM,204800,25561395320
VIRTUAL,204800,496714320
POOLED,204800,372440420
PLATFORM,409600,51245555780
VIRTUAL,409600,1130472780
POOLED,409600,701453820
