ThreadType,NumThreads,AvgExecutionTime
PLATFORM,100,0
VIRTUAL,100,3115160
POOLED,100,1867100
PLATFORM,200,0
VIRTUAL,200,515180
POOLED,200,1461590
PLATFORM,400,0
VIRTUAL,400,975110
POOLED,400,1906240
PLATFORM,800,0
VIRTUAL,800,1906200
POOLED,800,2922770
PLATFORM,1600,0
VIRTUAL,1600,3312550
POOLED,1600,3851530
PLATFORM,3200,0
VIRTUAL,3200,5878230
POOLED,3200,6433850
PLATFORM,6400,0
VIRTUAL,6400,11465980
POOLED,6400,12340860
PLATFORM,12800,0
VIRTUAL,12800,22695690
POOLED,12800,23106700
PLATFORM,25600,0
VIRTUAL,25600,45330550
POOLED,25600,46473670
PLATFORM,51200,0
VIRTUAL,51200,89200050
POOLED,51200,87648730
PLATFORM,102400,0
VIRTUAL,102400,184712150
POOLED,102400,174849620
PLATFORM,204800,0
VIRTUAL,204800,440714610
POOLED,204800,348067390
PLATFORM,409600,0
VIRTUAL,409600,803170230
POOLED,409600,714288670
