ThreadType,NumThreads,AvgExecutionTime
PLATFORM,100,0
VIRTUAL,100,3284640
POOLED,100,2014580
PLATFORM,200,0
VIRTUAL,200,1958930
POOLED,200,2782260
PLATFORM,400,0
VIRTUAL,400,4186120
POOLED,400,4789310
PLATFORM,800,0
VIRTUAL,800,7739590
POOLED,800,9124440
PLATFORM,1600,0
VIRTUAL,1600,16040240
POOLED,1600,17260190
PLATFORM,3200,0
VIRTUAL,3200,31037640
POOLED,3200,34148420
PLATFORM,6400,0
VIRTUAL,6400,60236030
POOLED,6400,65393600
PLATFORM,12800,0
VIRTUAL,12800,111581680
POOLED,12800,130717530
PLATFORM,25600,0
VIRTUAL,25600,221986010
POOLED,25600,261224810
PLATFORM,51200,0
VIRTUAL,51200,444499500
POOLED,51200,523084410
PLATFORM,102400,0
VIRTUAL,102400,915990340
POOLED,102400,1051908920
PLATFORM,204800,0
VIRTUAL,204800,1832321070
POOLED,204800,2110169920
PLATFORM,409600,0
VIRTUAL,409600,3896569020
POOLED,409600,4252603260
