ThreadType,NumThreads,AvgExecutionTime
PLATFORM,100,0
VIRTUAL,100,10988940
POOLED,100,5542390
PLATFORM,200,0
VIRTUAL,200,999820
POOLED,200,3151890
PLATFORM,400,0
VIRTUAL,400,1968050
POOLED,400,3413950
PLATFORM,800,0
VIRTUAL,800,2760140
POOLED,800,4255370
PLATFORM,1600,0
VIRTUAL,1600,5689930
POOLED,1600,5554800
PLATFORM,3200,0
VIRTUAL,3200,6335240
POOLED,3200,7452920
PLATFORM,6400,0
VIRTUAL,6400,11874830
POOLED,6400,11430920
PLATFORM,12800,0
VIRTUAL,12800,22640000
POOLED,12800,21057460
PLATFORM,25600,0
VIRTUAL,25600,46992020
POOLED,25600,42023400
PLATFORM,51200,0
VIRTUAL,51200,93748380
POOLED,51200,129347420
PLATFORM,102400,0
VIRTUAL,102400,369310330
POOLED,102400,282675650
PLATFORM,204800,0
VIRTUAL,204800,820989790
POOLED,204800,596059450
PLATFORM,409600,0
VIRTUAL,409600,1941852960
POOLED,409600,1159354850
