ThreadType,NumThreads,AvgExecutionTime
PLATFORM,100,0
VIRTUAL,100,20443600
POOLED,100,4614670
PLATFORM,200,0
VIRTUAL,200,2109670
POOLED,200,4093360
PLATFORM,400,0
VIRTUAL,400,4223210
POOLED,400,5331130
PLATFORM,800,0
VIRTUAL,800,7327360
POOLED,800,8093410
PLATFORM,1600,0
VIRTUAL,1600,12789080
POOLED,1600,12797050
PLATFORM,3200,0
VIRTUAL,3200,24120440
POOLED,3200,26295940
PLATFORM,6400,0
VIRTUAL,6400,50506480
POOLED,6400,52548980
PLATFORM,12800,0
VIRTUAL,12800,96831460
POOLED,12800,223952370
PLATFORM,25600,0
VIRTUAL,25600,380137870
POOLED,25600,450813910
PLATFORM,51200,0
VIRTUAL,51200,793147310
POOLED,51200,899282950
PLATFORM,102400,0
VIRTUAL,102400,1595096300
POOLED,102400,1762770380
PLATFORM,204800,0
VIRTUAL,204800,2987310480
POOLED,204800,3564871520
PLATFORM,409600,0
VIRTUAL,409600,7382372210
POOLED,409600,6737236220
