ThreadType,NumThreads,AvgExecutionTime
PLATFORM,100,0
VIRTUAL,100,338201900
POOLED,100,264789410
PLATFORM,200,0
VIRTUAL,200,573416690
POOLED,200,538093370
PLATFORM,400,0
VIRTUAL,400,1125714910
POOLED,400,1104172160
PLATFORM,800,0
VIRTUAL,800,2285250690
POOLED,800,2217437180
PLATFORM,1600,0
VIRTUAL,1600,4506005090
POOLED,1600,4435574780
